First Name,Last Name,Identifier,Country Reference,Birth Date,City of Birth,City of Living,Nick Name,Relationship Status
Aeliana,Stormrider,201,101,1990-03-15,Arcadia,Arcadia,Ace,Married
Kael,Sunstrike,202,102,1985-07-24,Aerilon,Arcadia,The Flash,Single
Lyra,Nightshade,203,108,1992-12-10,Skyhold,Skyhold,Shadow,In a relationship
Dorin,Starseeker,204,104,1988-01-06,Illumina,Illumina,Daredevil,Married
Zara,Windwhisper,205,105,1995-09-18,Solara,Aetherport,Zee,Single
Talon,Ironheart,206,106,1990-06-23,Aetherport,Caelium,Steel,Divorced
Kara,Firebrand,207,107,1984-04-11,Caelium,Stormhelm,Fury,Married
Eldrin,Stormforge,208,108,1991-11-02,Stormhelm,Solara,Thunder,Single
Rowan,Frostblade,209,109,1989-05-14,Eldrith,Arcadia,Frost,In a relationship
Selene,Shadowdancer,210,110,1993-08-21,Eosgate,Eosgate,Nightshade,Single
Jorin,Brightstar,211,101,1987-02-08,Arcadia,Arcadia,Star,Divorced
Thalia,Skylark,212,102,1994-12-28,Aerilon,Skyhold,Lark,Married
Tyrus,Duskborn,213,103,1990-09-13,Skyhold,Aetherport,Ty,In a relationship
Mira,Stoneweaver,214,104,1985-10-30,Illumina,Stormhelm,Rocky,Single
Xander,Flamecaster,215,105,1986-07-02,Solara,Eldrith,Blaze,Married
